"time","date","daily_hosp_adm_cong","cum_hosp_cong","cur_hosp_cong","hosp_death_cong"
0,2020-03-01,0,0,0,0
1,2020-03-02,0,0,0,0
2,2020-03-03,0,0,0,0
3,2020-03-04,0,0,0,0
4,2020-03-05,0,0,0,0
5,2020-03-06,0,0,0,0
6,2020-03-07,0,0,0,0
7,2020-03-08,0,0,0,0
8,2020-03-09,0,0,0,0
9,2020-03-10,0,0,0,0
10,2020-03-11,0,0,0,0
11,2020-03-12,0.127688321435205,0,0,0
12,2020-03-13,0.255376642870411,0,0,0
13,2020-03-14,0.255376642870411,1,1,0
14,2020-03-15,0.255376642870411,1,1,0
15,2020-03-16,0.363351115858351,1,1,0
16,2020-03-17,0.907576601767413,2,2,1
17,2020-03-18,2.96128944744838,5,4,1
18,2020-03-19,2.86298651285454,8,6,1
19,2020-03-20,2.13031096210009,10,7,2
20,2020-03-21,3.23730176954044,13,8,2
21,2020-03-22,3.58269260106113,17,10,5
22,2020-03-23,4.22877986479365,21,13,5
23,2020-03-24,3.55789384332399,25,16,6
24,2020-03-25,12.7064756674129,37,28,7
25,2020-03-26,12.3315635214309,50,42,7
26,2020-03-27,17.1544147738589,67,61,8
27,2020-03-28,25.7938550233627,93,85,10
28,2020-03-29,22.1294925759685,115,108,13
29,2020-03-30,43.5824156779488,158,144,18
30,2020-03-31,29.442758957751,188,167,25
31,2020-04-01,33.5082952891745,221,194,30
32,2020-04-02,49.8882254129066,271,232,41
33,2020-04-03,45.4544664127745,317,269,46
34,2020-04-04,54.3230109809649,371,300,57
35,2020-04-05,53.1244442880343,424,334,70
36,2020-04-06,34.8237517391678,459,345,82
37,2020-04-07,58.3422922967348,517,397,107
38,2020-04-08,54.0118714771282,571,408,133
39,2020-04-09,61.3279861483967,633,446,156
40,2020-04-10,68.9315847468736,702,465,173
41,2020-04-11,71.1896286824036,773,495,200
42,2020-04-12,70.5035725713758,843,540,225
43,2020-04-13,33.9294637407331,877,559,256
44,2020-04-14,102.585437896788,980,612,296
45,2020-04-15,43.283265890996,1023,627,330
46,2020-04-16,86.1278427594717,1109,640,357
47,2020-04-17,76.9877696129978,1186,640,388
48,2020-04-18,58.1532118694076,1244,628,433
49,2020-04-19,55.2025947454054,1300,631,462
50,2020-04-20,47.7710482480311,1347,633,491
51,2020-04-21,71.7640011755409,1419,632,520
52,2020-04-22,59.2257437041658,1478,613,550
53,2020-04-23,54.0723338371264,1532,580,583
54,2020-04-24,45.9517549817791,1578,547,616
55,2020-04-25,42.793119653185,1621,521,639
56,2020-04-26,34.7933019915541,1656,506,664
57,2020-04-27,46.4998679636507,1702,485,687
58,2020-04-28,46.6505950828774,1749,464,713
59,2020-04-29,46.8326513079039,1796,447,735
60,2020-04-30,45.9937860942725,1842,428,765
61,2020-05-01,37.6984851200346,1880,418,780
62,2020-05-02,38.0565306442205,1918,404,807
63,2020-05-03,29.6413459987153,1947,406,826
64,2020-05-04,43.2674619834314,1991,427,848
65,2020-05-05,37.3503780083362,2028,422,867
66,2020-05-06,39.8335341361795,2068,412,883
67,2020-05-07,41.4791681004809,2109,402,907
68,2020-05-08,37.0542486058465,2146,392,922
69,2020-05-09,34.6711884927053,2181,371,944
70,2020-05-10,21.108627153737,2202,355,958
71,2020-05-11,23.2859186125403,2225,338,974
72,2020-05-12,25.8759986893026,2251,315,993
73,2020-05-13,21.7951529429867,2273,290,1006
74,2020-05-14,19.4301953506128,2292,264,1014
75,2020-05-15,24.1598006732331,2317,250,1027
76,2020-05-16,24.0739700858879,2341,235,1039
77,2020-05-17,19.7533272742453,2360,233,1051
78,2020-05-18,18.9434002968986,2379,237,1067
79,2020-05-19,27.1690872598376,2407,239,1080
80,2020-05-20,15.8293974658509,2422,227,1091
81,2020-05-21,13.6475182162569,2436,210,1098
82,2020-05-22,23.6573408634451,2460,209,1109
83,2020-05-23,18.5462902317203,2478,203,1114
84,2020-05-24,20.1263993955704,2498,203,1127
85,2020-05-25,10.1081831152962,2508,195,1134
86,2020-05-26,13.2089878129882,2522,184,1144
87,2020-05-27,13.7000469648236,2535,168,1152
88,2020-05-28,14.9735751508124,2550,144,1163
89,2020-05-29,9.75164967296298,2560,130,1174
90,2020-05-30,8.48381722100028,2569,117,1176
91,2020-05-31,3.94727024127067,2573,112,1179
92,2020-06-01,6.96705599045996,2580,112,1183
93,2020-06-02,10.5441983021555,2590,113,1186
94,2020-06-03,13.6577328403123,2604,113,1190
95,2020-06-04,8.51849431535078,2612,115,1194
96,2020-06-05,17.012764993094,2629,116,1198
97,2020-06-06,22.0486723299204,2651,120,1200
98,2020-06-07,6.28097073505262,2658,120,1204
99,2020-06-08,8.88179225085809,2666,108,1209
100,2020-06-09,13.0239062629091,2679,98,1214
101,2020-06-10,10.3368456140409,2690,85,1219
102,2020-06-11,14.9429552974983,2705,79,1222
103,2020-06-12,8.22752351069152,2713,71,1224
104,2020-06-13,3.98460969288655,2717,58,1227
